Despacho,Orden,Cliente,Distrito,Tecnico,Decos_Series,Repetidores_Series,Fecha_Despacho,Estado_Almacen
DESP-001934,ORD-002395,Sofia Perez Sanchez,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-537339,REP-452218,2023-06-18,Entregado a Tecnico
DESP-001935,ORD-002396,Elena Perez Gomez,Reque,Cuadrilla La Victoria / JLO - C-02,DEC-332905,,2023-06-18,Entregado a Tecnico
DESP-001936,ORD-002400,Manuel Garcia Martinez,Santa Rosa,Cuadrilla Chiclayo Centro - C-01,DEC-914894,"REP-201014, REP-511410",2023-06-19,Entregado a Tecnico
DESP-001937,ORD-002402,Pedro Castro Castro,Jayanca,Cuadrilla La Victoria / JLO - C-02,DEC-790335,"REP-104004, REP-575502",2023-06-19,Entregado a Tecnico
DESP-001938,ORD-002404,Jose Rojas Rojas,Pitipo,Cuadrilla Pimentel / Costa - C-03,,,2023-06-20,Entregado a Tecnico
DESP-001939,ORD-002405,Pedro Flores Garcia,Túcume,Cuadrilla La Victoria / JLO - C-02,DEC-812745,,2023-06-19,Entregado a Tecnico
DESP-001940,ORD-002406,Sofia Garcia Lopez,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-666701,REP-347894,2023-06-19,Entregado a Tecnico
DESP-001941,ORD-002407,Christian Vargas Gomez,Eten,Cuadrilla Lambayeque Norte - C-04,"DEC-181630, DEC-734855",,2023-06-20,Entregado a Tecnico
DESP-001942,ORD-002408,Luis Vasquez Torres,Pátapo,Cuadrilla Chiclayo Centro - C-01,"DEC-608312, DEC-939712",,2023-06-19,Entregado a Tecnico
DESP-001943,ORD-002409,Jose Garcia Garcia,Pátapo,Cuadrilla Ferreñafe - C-05,DEC-537905,,2023-06-19,Entregado a Tecnico
DESP-001944,ORD-002412,Jorge Mendoza Flores,Reque,Cuadrilla Ferreñafe - C-05,"DEC-546886, DEC-567984",REP-247649,2023-06-21,Entregado a Tecnico
DESP-001945,ORD-002413,Ana Flores Rodriguez,Pomalca,Cuadrilla Pimentel / Costa - C-03,"DEC-114967, DEC-916981, DEC-222705",REP-737044,2023-06-20,Entregado a Tecnico
DESP-001946,ORD-002414,Jorge Rojas Rojas,Reque,Cuadrilla Ferreñafe - C-05,"DEC-588696, DEC-231806",REP-986462,2023-06-20,Entregado a Tecnico
DESP-001947,ORD-002415,Rosa Mendoza Vargas,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-328661,REP-634199,2023-06-20,Entregado a Tecnico
DESP-001948,ORD-002416,Manuel Vargas Martinez,La Victoria,Cuadrilla Pimentel / Costa - C-03,DEC-747592,REP-707072,2023-06-20,Entregado a Tecnico
DESP-001949,ORD-002417,Maria Romero Romero,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,"DEC-285215, DEC-627003",REP-621482,2023-06-20,Entregado a Tecnico
DESP-001950,ORD-002418,Maria Rodriguez Romero,Pimentel,Cuadrilla La Victoria / JLO - C-02,DEC-736398,"REP-376477, REP-664258",2023-06-20,Entregado a Tecnico
DESP-001951,ORD-002420,Diego Martinez Rodriguez,Lambayeque,Cuadrilla Chiclayo Centro - C-01,,"REP-915811, REP-488031",2023-06-20,Entregado a Tecnico
DESP-001952,ORD-002421,Patricia Romero Gomez,Pitipo,Cuadrilla Chiclayo Centro - C-01,"DEC-711087, DEC-129526",REP-514429,2023-06-21,Entregado a Tecnico
DESP-001953,ORD-002422,Carmen Lopez Diaz,Íllimo,Cuadrilla Ferreñafe - C-05,"DEC-258906, DEC-245918",,2023-06-21,Entregado a Tecnico
DESP-001954,ORD-002423,Ana Garcia Vargas,Chiclayo,Cuadrilla Ferreñafe - C-05,"DEC-157476, DEC-842699",,2023-06-21,Entregado a Tecnico
DESP-001955,ORD-002424,Carmen Rojas Vargas,Pomalca,Cuadrilla Lambayeque Norte - C-04,"DEC-343154, DEC-305080",,2023-06-21,Entregado a Tecnico
DESP-001956,ORD-002425,Pedro Torres Diaz,Chiclayo,Cuadrilla Chiclayo Centro - C-01,"DEC-525289, DEC-793974",REP-908407,2023-06-21,Entregado a Tecnico
DESP-001957,ORD-002428,Ana Garcia Torres,Pitipo,Cuadrilla Pimentel / Costa - C-03,DEC-791384,,2023-06-21,Entregado a Tecnico
DESP-001958,ORD-002430,Ana Torres Rodriguez,Monsefú,Cuadrilla Ferreñafe - C-05,DEC-456506,REP-346998,2023-06-21,Entregado a Tecnico
DESP-001959,ORD-002431,Luis Gomez Vasquez,Puerto Eten,Cuadrilla Ferreñafe - C-05,"DEC-838530, DEC-279589, DEC-346908",,2023-06-23,Entregado a Tecnico
DESP-001960,ORD-002432,Christian Rojas Rojas,Chiclayo,Cuadrilla Pimentel / Costa - C-03,DEC-159708,,2023-06-22,Entregado a Tecnico
DESP-001961,ORD-002433,Carmen Lopez Romero,Pátapo,Cuadrilla Chiclayo Centro - C-01,,REP-318946,2023-06-22,Entregado a Tecnico
DESP-001962,ORD-002434,Lucia Gomez Flores,Eten,Cuadrilla La Victoria / JLO - C-02,"DEC-552270, DEC-325029, DEC-585813","REP-158551, REP-774856",2023-06-23,Entregado a Tecnico
DESP-001963,ORD-002435,Ana Mendoza Castro,Túcume,Cuadrilla Lambayeque Norte - C-04,DEC-268169,REP-203446,2023-06-22,Entregado a Tecnico
DESP-001964,ORD-002436,Pedro Sanchez Diaz,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-178732,REP-887172,2023-06-23,Entregado a Tecnico
DESP-001965,ORD-002439,Luis Lopez Rojas,Reque,Cuadrilla Ferreñafe - C-05,"DEC-149398, DEC-923297",REP-914381,2023-06-22,Entregado a Tecnico
DESP-001966,ORD-002440,Sofia Vasquez Castro,Puerto Eten,Cuadrilla La Victoria / JLO - C-02,,,2023-06-22,Entregado a Tecnico
DESP-001967,ORD-002441,Carlos Martinez Martinez,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-407908,REP-636341,2023-06-22,Entregado a Tecnico
DESP-001968,ORD-002443,Manuel Diaz Rodriguez,Reque,Cuadrilla Chiclayo Centro - C-01,,REP-699095,2023-06-22,Entregado a Tecnico
DESP-001969,ORD-002444,Ana Rodriguez Rodriguez,Motupe,Cuadrilla Ferreñafe - C-05,DEC-852867,REP-200976,2023-06-22,Entregado a Tecnico
DESP-001970,ORD-002445,Ana Vargas Gomez,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,,REP-729597,2023-06-23,Entregado a Tecnico
DESP-001971,ORD-002446,Diego Martinez Rodriguez,Pátapo,Cuadrilla Lambayeque Norte - C-04,"DEC-673770, DEC-564457",,2023-06-22,Entregado a Tecnico
DESP-001972,ORD-002448,Rosa Rodriguez Castro,Mochumí,Cuadrilla La Victoria / JLO - C-02,DEC-607907,REP-585513,2023-06-23,Entregado a Tecnico
DESP-001973,ORD-002449,Ana Castro Garcia,Mochumí,Cuadrilla Chiclayo Centro - C-01,DEC-111292,,2023-06-23,Entregado a Tecnico
DESP-001974,ORD-002451,Jose Sanchez Sanchez,Pacora,Cuadrilla Ferreñafe - C-05,"DEC-192869, DEC-760478","REP-921515, REP-794487",2023-06-23,Entregado a Tecnico
DESP-001975,ORD-002453,Jorge Mendoza Mendoza,Motupe,Cuadrilla Pimentel / Costa - C-03,,REP-644273,2023-06-23,Entregado a Tecnico
DESP-001976,ORD-002455,Carlos Martinez Diaz,Motupe,Cuadrilla Chiclayo Centro - C-01,"DEC-335054, DEC-162158",REP-980413,2023-06-23,Entregado a Tecnico
DESP-001977,ORD-002457,Fernando Castro Rojas,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,,,2023-06-23,Entregado a Tecnico
DESP-001978,ORD-002459,Christian Vargas Gomez,Puerto Eten,Cuadrilla Lambayeque Norte - C-04,DEC-983574,REP-253854,2023-06-23,Entregado a Tecnico
DESP-001979,ORD-002461,Diego Diaz Castro,Monsefú,Cuadrilla Chiclayo Centro - C-01,DEC-687474,REP-740026,2023-06-23,Entregado a Tecnico
DESP-001980,ORD-002462,Elena Gomez Flores,Manuel Antonio Mesones Muro,Cuadrilla La Victoria / JLO - C-02,DEC-745132,REP-325082,2023-06-23,Entregado a Tecnico
DESP-001981,ORD-002463,Patricia Mendoza Mendoza,Jayanca,Cuadrilla Chiclayo Centro - C-01,,"REP-295074, REP-401960",2023-06-23,Entregado a Tecnico
DESP-001982,ORD-002464,Patricia Garcia Martinez,Ferreñafe,Cuadrilla La Victoria / JLO - C-02,DEC-724700,REP-733477,2023-06-23,Entregado a Tecnico
DESP-001983,ORD-002465,Christian Mendoza Romero,Chiclayo,Cuadrilla Chiclayo Centro - C-01,DEC-653069,REP-732938,2023-06-23,Entregado a Tecnico
DESP-001984,ORD-002466,Carmen Lopez Perez,Pomalca,Cuadrilla Lambayeque Norte - C-04,"DEC-957633, DEC-845306, DEC-687502",REP-346570,2023-06-24,Entregado a Tecnico
DESP-001985,ORD-002467,Sofia Garcia Gomez,Pomalca,Cuadrilla Pimentel / Costa - C-03,"DEC-152938, DEC-968902",,2023-06-25,Entregado a Tecnico
DESP-001986,ORD-002468,Katia Sanchez Martinez,Lambayeque,Cuadrilla La Victoria / JLO - C-02,"DEC-103984, DEC-789605, DEC-640824",REP-787167,2023-06-24,Entregado a Tecnico
DESP-001987,ORD-002470,Ana Garcia Diaz,Túcume,Cuadrilla Ferreñafe - C-05,DEC-320729,,2023-06-24,Entregado a Tecnico
DESP-001988,ORD-002471,Luis Rodriguez Romero,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,,,2023-06-24,Entregado a Tecnico
DESP-001989,ORD-002472,Ana Lopez Garcia,Eten,Cuadrilla Lambayeque Norte - C-04,DEC-774129,"REP-348276, REP-675343",2023-06-24,Entregado a Tecnico
DESP-001990,ORD-002473,Diego Romero Rodriguez,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,DEC-240612,REP-446243,2023-06-24,Entregado a Tecnico
DESP-001991,ORD-002474,Maria Rodriguez Garcia,Ferreñafe,Cuadrilla La Victoria / JLO - C-02,DEC-809350,,2023-06-24,Entregado a Tecnico
DESP-001992,ORD-002475,Carmen Martinez Garcia,Olmos,Cuadrilla Ferreñafe - C-05,DEC-983293,,2023-06-24,Entregado a Tecnico
DESP-001993,ORD-002476,Ana Sanchez Vasquez,Manuel Antonio Mesones Muro,Cuadrilla Lambayeque Norte - C-04,"DEC-177464, DEC-616959, DEC-418905",,2023-06-25,Entregado a Tecnico
DESP-001994,ORD-002477,Javier Gomez Flores,Pueblo Nuevo,Cuadrilla Ferreñafe - C-05,DEC-155153,REP-493678,2023-06-24,Entregado a Tecnico
DESP-001995,ORD-002478,Elena Mendoza Rodriguez,Puerto Eten,Cuadrilla Chiclayo Centro - C-01,DEC-200524,,2023-06-25,Entregado a Tecnico
DESP-001996,ORD-002479,Manuel Flores Martinez,Pátapo,Cuadrilla Pimentel / Costa - C-03,,REP-469405,2023-06-25,Entregado a Tecnico
DESP-001997,ORD-002480,Fiorella Torres Castro,Eten,Cuadrilla Lambayeque Norte - C-04,DEC-442482,,2023-06-26,Entregado a Tecnico
DESP-001998,ORD-002481,Rosa Flores Mendoza,Pátapo,Cuadrilla Lambayeque Norte - C-04,DEC-560408,,2023-06-25,Entregado a Tecnico
DESP-001999,ORD-002482,Fiorella Flores Rojas,Pueblo Nuevo,Cuadrilla Chiclayo Centro - C-01,DEC-121256,REP-108854,2023-06-25,Entregado a Tecnico
DESP-002000,ORD-002483,Jorge Rojas Vasquez,Motupe,Cuadrilla Chiclayo Centro - C-01,"DEC-168263, DEC-402525",,2023-06-25,Entregado a Tecnico
DESP-002001,ORD-002484,Sofia Castro Flores,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-720146,REP-379097,2023-06-25,Entregado a Tecnico
DESP-002002,ORD-002485,Ana Rodriguez Rodriguez,Íllimo,Cuadrilla La Victoria / JLO - C-02,DEC-598911,REP-326645,2023-06-25,Entregado a Tecnico
DESP-002003,ORD-002486,Maria Castro Garcia,Monsefú,Cuadrilla Chiclayo Centro - C-01,,,2023-06-25,Entregado a Tecnico
DESP-002004,ORD-002487,Carlos Romero Perez,Pátapo,Cuadrilla Chiclayo Centro - C-01,,,2023-06-26,Entregado a Tecnico
DESP-002005,ORD-002489,Pedro Flores Lopez,Pitipo,Cuadrilla La Victoria / JLO - C-02,"DEC-879809, DEC-259183",,2023-06-25,Entregado a Tecnico
DESP-002006,ORD-002490,Maria Vasquez Flores,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,,"REP-924907, REP-954074",2023-06-26,Entregado a Tecnico
DESP-002007,ORD-002492,Carlos Martinez Diaz,Olmos,Cuadrilla Chiclayo Centro - C-01,,REP-984855,2023-06-26,Entregado a Tecnico
DESP-002008,ORD-002493,Pedro Garcia Gomez,Pimentel,Cuadrilla La Victoria / JLO - C-02,"DEC-286527, DEC-635067",REP-881776,2023-06-26,Entregado a Tecnico
DESP-002009,ORD-002494,Patricia Gomez Mendoza,Monsefú,Cuadrilla La Victoria / JLO - C-02,"DEC-930511, DEC-843501",REP-738254,2023-06-26,Entregado a Tecnico
DESP-002010,ORD-002495,Jose Diaz Rodriguez,Santa Rosa,Cuadrilla Chiclayo Centro - C-01,"DEC-357024, DEC-821280, DEC-954823","REP-764042, REP-572072",2023-06-27,Entregado a Tecnico
DESP-002011,ORD-002496,Maria Rojas Sanchez,Pomalca,Cuadrilla Pimentel / Costa - C-03,"DEC-369545, DEC-892916",,2023-06-26,Entregado a Tecnico
DESP-002012,ORD-002497,Christian Diaz Garcia,Pacora,Cuadrilla Chiclayo Centro - C-01,DEC-991069,,2023-06-26,Entregado a Tecnico
DESP-002013,ORD-002498,Sofia Torres Vasquez,Pimentel,Cuadrilla Ferreñafe - C-05,"DEC-948357, DEC-269776, DEC-238942",,2023-06-26,Entregado a Tecnico
DESP-002014,ORD-002499,Fiorella Castro Rojas,Pátapo,Cuadrilla Chiclayo Centro - C-01,"DEC-483176, DEC-804633",REP-579128,2023-06-26,Entregado a Tecnico
DESP-002015,ORD-002500,Patricia Gomez Lopez,La Victoria,Cuadrilla Chiclayo Centro - C-01,"DEC-218651, DEC-475588",,2023-06-26,Entregado a Tecnico
DESP-002016,ORD-002501,Christian Romero Vasquez,Olmos,Cuadrilla Pimentel / Costa - C-03,,"REP-167480, REP-140341",2023-06-26,Entregado a Tecnico
DESP-002017,ORD-002502,Fernando Rodriguez Perez,Pacora,Cuadrilla Pimentel / Costa - C-03,DEC-253129,,2023-06-26,Entregado a Tecnico
DESP-002018,ORD-002503,Jose Sanchez Gomez,Pitipo,Cuadrilla Ferreñafe - C-05,,,2023-06-27,Entregado a Tecnico
DESP-002019,ORD-002504,Fiorella Mendoza Rodriguez,Túcume,Cuadrilla La Victoria / JLO - C-02,,,2023-06-27,Entregado a Tecnico
DESP-002020,ORD-002505,Fiorella Sanchez Rodriguez,Túcume,Cuadrilla Ferreñafe - C-05,DEC-928892,,2023-06-27,Entregado a Tecnico
DESP-002021,ORD-002506,Katia Diaz Mendoza,Pitipo,Cuadrilla Pimentel / Costa - C-03,DEC-456376,"REP-461573, REP-825545",2023-06-27,Entregado a Tecnico
DESP-002022,ORD-002507,Sofia Gomez Flores,Monsefú,Cuadrilla Ferreñafe - C-05,"DEC-874802, DEC-976837",REP-780430,2023-06-27,Entregado a Tecnico
DESP-002023,ORD-002508,Ana Rojas Romero,Pitipo,Cuadrilla Pimentel / Costa - C-03,"DEC-790767, DEC-292205","REP-770667, REP-487168",2023-06-27,Entregado a Tecnico
DESP-002024,ORD-002509,Rosa Sanchez Romero,Reque,Cuadrilla Lambayeque Norte - C-04,"DEC-349158, DEC-799437",,2023-06-27,Entregado a Tecnico
DESP-002025,ORD-002510,Pedro Rojas Sanchez,Túcume,Cuadrilla Chiclayo Centro - C-01,DEC-342200,,2023-06-27,Entregado a Tecnico
DESP-002026,ORD-002511,Manuel Sanchez Rojas,Chiclayo,Cuadrilla Lambayeque Norte - C-04,"DEC-924234, DEC-394252","REP-308778, REP-806022",2023-06-27,Entregado a Tecnico
DESP-002027,ORD-002512,Pedro Lopez Castro,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-429767,REP-333027,2023-06-27,Entregado a Tecnico
DESP-002028,ORD-002513,Rosa Romero Garcia,Reque,Cuadrilla Ferreñafe - C-05,DEC-388663,REP-405460,2023-06-27,Entregado a Tecnico
DESP-002029,ORD-002514,Luis Castro Diaz,Mochumí,Cuadrilla Chiclayo Centro - C-01,DEC-512279,"REP-851378, REP-826861",2023-06-27,Entregado a Tecnico
DESP-002030,ORD-002516,Javier Rodriguez Diaz,Manuel Antonio Mesones Muro,Cuadrilla Pimentel / Costa - C-03,DEC-226988,,2023-06-27,Entregado a Tecnico
DESP-002031,ORD-002517,Sofia Castro Rojas,Pimentel,Cuadrilla Pimentel / Costa - C-03,"DEC-585839, DEC-820897","REP-630209, REP-953154",2023-06-27,Entregado a Tecnico
DESP-002032,ORD-002519,Fiorella Castro Rojas,Monsefú,Cuadrilla Lambayeque Norte - C-04,,REP-645664,2023-06-28,Entregado a Tecnico
DESP-002033,ORD-002520,Sofia Sanchez Vargas,La Victoria,Cuadrilla Ferreñafe - C-05,DEC-762075,,2023-06-28,Entregado a Tecnico
DESP-002034,ORD-002521,Jorge Mendoza Rodriguez,Pimentel,Cuadrilla Ferreñafe - C-05,DEC-177602,REP-587961,2023-06-28,Entregado a Tecnico
DESP-002035,ORD-002522,Carmen Romero Castro,Puerto Eten,Cuadrilla Ferreñafe - C-05,"DEC-744531, DEC-335767",,2023-06-28,Entregado a Tecnico
DESP-002036,ORD-002523,Lucia Lopez Vasquez,Eten,Cuadrilla Pimentel / Costa - C-03,"DEC-459333, DEC-746813, DEC-359038",REP-615746,2023-06-29,Entregado a Tecnico
DESP-002037,ORD-002524,Jose Rojas Rodriguez,Jayanca,Cuadrilla Pimentel / Costa - C-03,,,2023-06-28,Entregado a Tecnico
DESP-002038,ORD-002525,Diego Sanchez Castro,Íllimo,Cuadrilla Ferreñafe - C-05,,,2023-06-28,Entregado a Tecnico
DESP-002039,ORD-002526,Jose Romero Vargas,Olmos,Cuadrilla La Victoria / JLO - C-02,,REP-445947,2023-06-28,Entregado a Tecnico
DESP-002040,ORD-002527,Manuel Mendoza Mendoza,Jayanca,Cuadrilla Lambayeque Norte - C-04,DEC-749759,REP-689988,2023-06-28,Entregado a Tecnico
DESP-002041,ORD-002529,Carlos Castro Rojas,Pomalca,Cuadrilla La Victoria / JLO - C-02,"DEC-736364, DEC-344419","REP-324396, REP-494114",2023-06-28,Entregado a Tecnico
DESP-002042,ORD-002531,Diego Perez Torres,Pátapo,Cuadrilla Lambayeque Norte - C-04,"DEC-395108, DEC-556745","REP-836439, REP-477108",2023-06-28,Entregado a Tecnico
DESP-002043,ORD-002532,Fiorella Flores Mendoza,Pátapo,Cuadrilla Ferreñafe - C-05,"DEC-600264, DEC-189445",REP-203760,2023-06-29,Entregado a Tecnico
DESP-002044,ORD-002533,Sofia Rodriguez Romero,Pomalca,Cuadrilla La Victoria / JLO - C-02,"DEC-239352, DEC-898936",REP-617130,2023-06-29,Entregado a Tecnico
DESP-002045,ORD-002535,Jorge Flores Lopez,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-360789,,2023-06-29,Entregado a Tecnico
DESP-002046,ORD-002536,Katia Castro Rodriguez,Túcume,Cuadrilla Ferreñafe - C-05,DEC-570437,REP-531149,2023-06-29,Entregado a Tecnico
DESP-002047,ORD-002537,Patricia Vasquez Garcia,Pátapo,Cuadrilla Ferreñafe - C-05,"DEC-847868, DEC-480288, DEC-356927",,2023-06-30,Entregado a Tecnico
DESP-002048,ORD-002539,Elena Sanchez Rodriguez,La Victoria,Cuadrilla Pimentel / Costa - C-03,DEC-862919,REP-247964,2023-06-30,Entregado a Tecnico
DESP-002049,ORD-002540,Fernando Martinez Lopez,Eten,Cuadrilla Pimentel / Costa - C-03,DEC-820820,,2023-06-30,Entregado a Tecnico
DESP-002050,ORD-002542,Fiorella Castro Martinez,Eten,Cuadrilla Lambayeque Norte - C-04,,REP-101091,2023-06-30,Entregado a Tecnico
DESP-002051,ORD-002543,Patricia Gomez Gomez,Santa Rosa,Cuadrilla Ferreñafe - C-05,DEC-621119,"REP-625034, REP-768075",2023-06-30,Entregado a Tecnico
DESP-002052,ORD-002544,Ana Castro Diaz,Pacora,Cuadrilla Chiclayo Centro - C-01,"DEC-319697, DEC-856755",REP-709545,2023-07-01,Entregado a Tecnico
DESP-002053,ORD-002546,Carlos Garcia Flores,Puerto Eten,Cuadrilla Lambayeque Norte - C-04,DEC-420768,REP-889016,2023-06-30,Entregado a Tecnico
DESP-002054,ORD-002547,Elena Rojas Gomez,Pátapo,Cuadrilla Lambayeque Norte - C-04,DEC-102559,"REP-311219, REP-682415",2023-06-30,Entregado a Tecnico
DESP-002055,ORD-002548,Jorge Perez Mendoza,Reque,Cuadrilla Ferreñafe - C-05,DEC-356494,REP-790002,2023-06-30,Entregado a Tecnico
DESP-002056,ORD-002550,Christian Castro Lopez,Íllimo,Cuadrilla Ferreñafe - C-05,DEC-648163,"REP-126283, REP-495208",2023-07-01,Entregado a Tecnico
DESP-002057,ORD-002551,Fiorella Flores Vasquez,Manuel Antonio Mesones Muro,Cuadrilla Chiclayo Centro - C-01,DEC-159326,,2023-07-01,Entregado a Tecnico
DESP-002058,ORD-002552,Javier Vasquez Romero,Olmos,Cuadrilla Ferreñafe - C-05,DEC-696144,REP-338733,2023-07-02,Entregado a Tecnico
DESP-002059,ORD-002553,Pedro Perez Rojas,Pátapo,Cuadrilla Lambayeque Norte - C-04,,REP-467194,2023-07-01,Entregado a Tecnico
DESP-002060,ORD-002554,Maria Flores Lopez,José Leonardo Ortiz,Cuadrilla Lambayeque Norte - C-04,"DEC-792605, DEC-833614, DEC-648821","REP-438482, REP-136197",2023-07-02,Entregado a Tecnico
DESP-002061,ORD-002555,Carlos Romero Garcia,Reque,Cuadrilla Pimentel / Costa - C-03,DEC-823607,"REP-117213, REP-442604",2023-07-01,Entregado a Tecnico
DESP-002062,ORD-002556,Luis Flores Gomez,Jayanca,Cuadrilla Lambayeque Norte - C-04,DEC-205204,REP-850586,2023-07-01,Entregado a Tecnico
DESP-002063,ORD-002557,Ana Mendoza Mendoza,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,,"REP-242408, REP-582569",2023-07-01,Entregado a Tecnico
DESP-002064,ORD-002558,Carmen Perez Mendoza,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,DEC-640773,,2023-07-01,Entregado a Tecnico
DESP-002065,ORD-002561,Katia Sanchez Sanchez,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,DEC-962162,REP-956941,2023-07-01,Entregado a Tecnico
DESP-002066,ORD-002562,Pedro Castro Lopez,Eten,Cuadrilla Ferreñafe - C-05,"DEC-562217, DEC-944471","REP-644676, REP-711326",2023-07-02,Entregado a Tecnico
DESP-002067,ORD-002563,Fernando Vasquez Garcia,Pátapo,Cuadrilla La Victoria / JLO - C-02,,REP-880190,2023-07-01,Entregado a Tecnico
DESP-002068,ORD-002564,Maria Lopez Garcia,Jayanca,Cuadrilla La Victoria / JLO - C-02,DEC-670019,REP-970286,2023-07-01,Entregado a Tecnico
DESP-002069,ORD-002565,Jose Rojas Diaz,Motupe,Cuadrilla La Victoria / JLO - C-02,DEC-128782,,2023-07-01,Entregado a Tecnico
DESP-002070,ORD-002566,Ana Rojas Vasquez,Manuel Antonio Mesones Muro,Cuadrilla Lambayeque Norte - C-04,,REP-758899,2023-07-01,Entregado a Tecnico
DESP-002071,ORD-002567,Carmen Vasquez Castro,Reque,Cuadrilla Chiclayo Centro - C-01,DEC-731075,REP-423362,2023-07-02,Entregado a Tecnico
DESP-002072,ORD-002568,Patricia Flores Torres,Lambayeque,Cuadrilla Chiclayo Centro - C-01,"DEC-244793, DEC-577698",REP-543114,2023-07-01,Entregado a Tecnico
DESP-002073,ORD-002569,Diego Mendoza Rodriguez,Pimentel,Cuadrilla Ferreñafe - C-05,,REP-214365,2023-07-02,Entregado a Tecnico
DESP-002074,ORD-002570,Elena Torres Gomez,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,DEC-942134,REP-482103,2023-07-02,Entregado a Tecnico
DESP-002075,ORD-002571,Jose Vargas Vasquez,Pátapo,Cuadrilla Pimentel / Costa - C-03,"DEC-591907, DEC-972596","REP-490560, REP-155717",2023-07-02,Entregado a Tecnico
DESP-002076,ORD-002574,Jose Rojas Diaz,Pátapo,Cuadrilla La Victoria / JLO - C-02,DEC-388916,REP-395250,2023-07-02,Entregado a Tecnico
DESP-002077,ORD-002575,Jorge Torres Lopez,Monsefú,Cuadrilla La Victoria / JLO - C-02,DEC-523515,,2023-07-02,Entregado a Tecnico
DESP-002078,ORD-002576,Pedro Vargas Perez,Pátapo,Cuadrilla Ferreñafe - C-05,DEC-403593,,2023-07-02,Entregado a Tecnico
DESP-002079,ORD-002578,Fiorella Vargas Flores,Reque,Cuadrilla Lambayeque Norte - C-04,DEC-209423,REP-882086,2023-07-02,Entregado a Tecnico
DESP-002080,ORD-002579,Patricia Rojas Castro,Chiclayo,Cuadrilla Pimentel / Costa - C-03,DEC-181713,,2023-07-02,Entregado a Tecnico
DESP-002081,ORD-002581,Diego Lopez Diaz,Pitipo,Cuadrilla Pimentel / Costa - C-03,"DEC-180314, DEC-467738",,2023-07-02,Entregado a Tecnico
DESP-002082,ORD-002582,Patricia Torres Sanchez,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-788901,,2023-07-02,Entregado a Tecnico
DESP-002083,ORD-002584,Lucia Vasquez Castro,Monsefú,Cuadrilla Lambayeque Norte - C-04,DEC-388854,,2023-07-02,Entregado a Tecnico
DESP-002084,ORD-002585,Diego Vargas Gomez,Pátapo,Cuadrilla Chiclayo Centro - C-01,DEC-129911,REP-285965,2023-07-02,Entregado a Tecnico
DESP-002085,ORD-002588,Carmen Lopez Sanchez,Monsefú,Cuadrilla Pimentel / Costa - C-03,"DEC-111608, DEC-834692",REP-429520,2023-07-02,Entregado a Tecnico
DESP-002086,ORD-002592,Christian Sanchez Castro,Eten,Cuadrilla La Victoria / JLO - C-02,,,2023-07-03,Entregado a Tecnico
DESP-002087,ORD-002594,Christian Garcia Rojas,Pomalca,Cuadrilla Pimentel / Costa - C-03,"DEC-928116, DEC-498224",,2023-07-03,Entregado a Tecnico
DESP-002088,ORD-002595,Jose Gomez Castro,Reque,Cuadrilla La Victoria / JLO - C-02,,,2023-07-03,Entregado a Tecnico
DESP-002089,ORD-002597,Elena Garcia Castro,Pimentel,Cuadrilla Ferreñafe - C-05,,REP-949137,2023-07-03,Entregado a Tecnico
DESP-002090,ORD-002598,Luis Lopez Rojas,Monsefú,Cuadrilla Lambayeque Norte - C-04,DEC-962399,,2023-07-04,Entregado a Tecnico
DESP-002091,ORD-002599,Katia Sanchez Rodriguez,Pomalca,Cuadrilla La Victoria / JLO - C-02,,,2023-07-04,Entregado a Tecnico
DESP-002092,ORD-002600,Rosa Gomez Martinez,Pátapo,Cuadrilla Ferreñafe - C-05,DEC-557836,REP-619510,2023-07-04,Entregado a Tecnico
DESP-002093,ORD-002601,Katia Vasquez Sanchez,Pátapo,Cuadrilla Pimentel / Costa - C-03,,,2023-07-04,Entregado a Tecnico
DESP-002094,ORD-002602,Luis Rojas Vargas,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,DEC-625989,,2023-07-04,Entregado a Tecnico
DESP-002095,ORD-002604,Carlos Vargas Rojas,Pimentel,Cuadrilla Ferreñafe - C-05,DEC-573290,REP-737432,2023-07-04,Entregado a Tecnico
DESP-002096,ORD-002605,Pedro Vargas Diaz,Monsefú,Cuadrilla Chiclayo Centro - C-01,DEC-893346,REP-754911,2023-07-04,Entregado a Tecnico
